message,label
Win money now click this link,1
Your bank account blocked verify now,1
Lottery winner claim prize,1
Urgent! Update your bank details,1
Click here to claim reward,1
Congratulations you won cash prize,1
Verify your account immediately,1
Your ATM card blocked call now,1
Limited offer claim now,1
You have won free gift click here,1
Your OTP is 1234,0
Meeting scheduled tomorrow,0
Payment received successfully,0
Project discussion at 3 PM,0
Your order has been shipped,0
Call me when you are free,0
Lunch at 1 PM,0
Submit assignment before deadline,0
Happy birthday have a great day,0
See you tomorrow,0
Update your KYC immediately,1
Bank alert suspicious activity verify now,1
Free recharge click link,1
Earn money from home click here,1
Claim your cashback now,1
Account suspended verify immediately,1
Dear user update password now,1
You are selected for lottery,1
Click to unlock your reward,1
Confirm your bank details now,1
Team meeting postponed,0
Dinner tonight at 8,0
Please review the document,0
Exam starts at 10 AM,0
Your cab has arrived,0
Package delivered successfully,0
Class cancelled today,0
Submit your report,0
Let's catch up soon,0
Good morning have a nice day,0
Urgent payment required click link,1
Verify OTP to continue transaction,1
Bank warning update details,1
Your account is hacked reset now,1
Free ticket claim now,1
Click here for job offer,1
Earn 5000 daily click now,1
Suspicious login verify now,1
Account will be blocked act now,1
Congratulations you are lucky winner,1
Meeting rescheduled to evening,0
Call me later,0
Assignment submitted,0
Check your email,0
See you in class,0
Dinner is ready,0
Please send files,0
Let's go for movie,0
Happy anniversary,0
Good luck for exam,0
Verify your phone number now,1
Update payment details urgently,1
Click here to secure account,1
Bank notice immediate action required,1
You won iPhone click here,1
Claim your insurance now,1
Your account expired renew now,1
Lottery claim closing soon,1
Confirm your identity now,1
Free coupon claim now,1
Wake up it's time,0
Meeting link shared,0
Complete your homework,0
Join the call,0
Project deadline extended,0
Submit form today,0
Let's meet tomorrow,0
Check results online,0
Lunch break now,0
Go to office early,0
OTP required for transaction share now,1
Security alert update password,1
Your account is at risk verify now,1
Free loan apply now,1
You have pending payment click here,1
Urgent bank update required,1
Confirm card details now,1
Your account is locked click link,1
Win cash instantly click now,1
Get reward points now,1
Morning walk done,0
Study well,0
Meeting at office,0
Call your friend,0
Have a great day,0
Let's start project,0
Complete task today,0
Dinner plan confirmed,0
Check notes,0
Assignment deadline tomorrow,0